   231/399        0G   0.01302  0.008396         0   0.02142        18       640         1         1    0.9969    0.9425  0.004432  0.002401         0
   232/399        0G   0.01366  0.007976         0   0.02164        12       640         1         1    0.9968    0.9393  0.005146  0.002459         0
   233/399        0G   0.01153  0.007163         0   0.01869        10       640         1         1    0.9968     0.942  0.004719  0.002384         0
   234/399        0G   0.01269  0.006959         0   0.01965        10       640         1         1    0.9968    0.9027  0.006349  0.002436         0
   235/399        0G    0.0116  0.007263         0   0.01886         9       640         1         1    0.9968    0.9281    0.0058  0.002404         0
   236/399        0G   0.01273  0.008074         0    0.0208        14       640         1         1    0.9969    0.9294  0.004925   0.00237         0
   237/399        0G    0.0121  0.007505         0    0.0196        12       640         1         1    0.9969    0.9331  0.004811  0.002338         0
   238/399        0G   0.01164  0.007355         0   0.01899        16       640         1         1     0.997    0.9275  0.005041  0.002318         0
   239/399        0G   0.01046  0.006807         0   0.01726         5       640         1         1    0.9971    0.9303  0.004726  0.002287         0
   240/399        0G   0.01177  0.007834         0    0.0196        13       640         1         1     0.997     0.922  0.006339  0.002325         0
   241/399        0G   0.01151   0.00743         0   0.01894        14       640         1         1    0.9969     0.925  0.005046  0.002319         0
   242/399        0G   0.01154  0.007951         0   0.01949        14       640         1         1    0.9969    0.9329  0.005502   0.00235         0
